# timestamps [seconds],pts
51.064929,3202262
51.103666,3204801
51.149041,3207775
51.184846,3210121
51.230163,3213091
51.271441,3215796
51.310083,3218328
51.350308,3220965
51.388984,3223499
51.431193,3226265
51.472826,3228994
51.517396,3231915
51.556605,3234484
51.597199,3237145
51.636598,3239727
51.675868,3242300
51.706290,3244294
51.743891,3246758
51.785296,3249471
51.826382,3252164
51.868355,3254915
51.913152,3257851
51.951134,3260340
51.996877,3263337
52.032726,3265687
52.079905,3268779
52.118425,3271303
52.159098,3273969
52.199848,3276639
52.241985,3279401
52.281684,3282002
52.320168,3284524
52.353894,3286735
52.388028,3288972
52.429144,3291666
52.476056,3294740
52.516479,3297390
52.556030,3299982
52.599239,3302813
52.641752,3305599
52.680095,3308112
52.719612,3310702
52.759980,3313347
52.797925,3315834
52.838220,3318475
52.880688,3321258
52.913631,3323417
52.957680,3326304
53.003503,3329307
53.044388,3331986
53.070226,3333679
53.108611,3336195
53.149024,3338843
53.197783,3342039
53.236613,3344584
53.276686,3347210
53.316930,3349847
53.353492,3352243
53.397627,3355136
53.435339,3357607
53.473467,3360106
53.520497,3363188
53.558215,3365660
53.589533,3367712
53.628868,3370290
53.669296,3372939
53.710746,3375656
53.751288,3378313
53.801196,3381583
53.840779,3384178
53.879057,3386686
53.922662,3389544
53.952493,3391499
53.992012,3394089
54.037346,3397060
54.073851,3399452
54.121735,3402590
54.157976,3404965
54.198401,3407614
54.229320,3409641
54.270426,3412334
54.308403,3414823
54.350135,3417558
54.396624,3420605
54.439878,3423440
54.477904,3425932
54.517185,3428506
54.556711,3431096
54.598992,3433867
54.633186,3436108
54.673658,3438760
54.710901,3441201
54.758397,3444314
54.797522,3446878
54.830677,3449051
54.869768,3451612
54.912426,3454408
54.948705,3456785
54.996277,3459903
55.031390,3462204
55.071372,3464824
55.118155,3467890
55.161189,3470711
55.201613,3473360
55.236700,3475659
55.277263,3478318
55.319422,3481080
55.357820,3483597
55.404037,3486626
55.440381,3489007
55.469933,3490944
55.516105,3493970
55.547829,3496049
55.592979,3499008
55.632490,3501597
55.677631,3504556
55.715050,3507008
55.753212,3509509
55.799720,3512557
55.837142,3515009
55.877645,3517664
55.918600,3520348
55.953486,3522634
55.997587,3525524
56.038508,3528206
56.075868,3530654
56.107027,3532696
56.147709,3535362
56.188600,3538042
56.235061,3541087
56.274687,3543684
56.315368,3546350
56.352158,3548761
56.394958,3551566
56.431826,3553982
56.469368,3556442
56.509938,3559101
56.556253,3562136
56.594424,3564638
56.634049,3567235
56.688977,3570834
56.708870,3572138
56.751734,3574947
56.789138,3577398
56.831234,3580157
56.874080,3582965
56.913410,3585542
56.951687,3588051
56.991948,3590689
57.028906,3593111
57.074372,3596091
57.110711,3598473
57.158180,3601583
57.192170,3603811
57.232385,3606446
57.278303,3609456
57.309472,3611498
57.346380,3613917
57.396078,3617174
57.431516,3619497
57.469169,3621964
57.519841,3625285
57.556130,3627663
57.600247,3630554
